英雄,最大生命,生命成长,初始生命,最大法力,法力成长,初始法力,最高物攻,物攻成长,初始物攻,最大物防,物防成长,初始物防,最大每5秒回血,每5秒回血成长,初始每5秒回血,最大每5秒回蓝,每5秒回蓝成长,初始每5秒回蓝,最大攻速,攻击范围
露娜,6612,256.5,3021,1836,99,450,335,12.29,163,375,19.5,102,99,3.357,52,39,1.643,16,28.00%,近战
甄姬,5584,181.6,3041,2002,108,490,296,9.357,165,330,17.36,87,71,2,43,44,1.857,18,14.00%,远程
妲己,5824,185.4,3229,2016,109,490,293,8.786,170,326,17.14,86,74,2,46,44,1.857,18,14.00%,远程
干将莫邪,5583,171,3189,1946,104,490,292,9.5,159,323,16.5,92,71,1.857,45,41,1.714,17,14.00%,远程
姜子牙,5399,174.4,2958,2002,108,490,317,10.64,168,342,16.86,106,69,1.929,42,44,1.857,18,14.00%,远程
王昭君,5429,167.6,3083,1960,105,490,296,9.357,165,305,15.29,91,70,1.857,44,41,1.714,17,14.00%,远程
诸葛亮,5655,180,3135,1988,107,490,287,9.357,156,330,17.36,87,72,2,44,43,1.786,18,14.00%,远程
貂蝉,5611,185.1,3019,1960,105,490,287,8.571,167,330,17.36,87,71,2,43,41,1.714,17,14.00%,近战
安琪拉,5994,190.8,3323,1960,105,490,293,8.786,170,315,16.57,83,76,2.071,47,41,1.714,17,14.00%,远程
小乔,5916,202,3088,1988,107,490,263,7.857,153,309,15.29,95,75,2.214,44,43,1.786,18,14.00%,远程
周瑜,5513,172.9,3093,1974,106,490,298,9.857,160,320,16.64,87,70,1.857,44,42,1.786,17,14.00%,远程
张良,5799,198,3027,1988,107,490,293,8.786,170,320,16.64,87,73,2.143,43,43,1.786,18,14.00%,远程
高渐离,6165,217.4,3122,1988,107,490,290,9.071,163,343,17.5,98,77,2.357,44,42,1.786,17,14.00%,远程
扁鹊,6703,249.9,3205,2016,109,490,309,10.07,168,374,20.5,87,83,2.714,45,44,1.857,18,14.00%,远程
花木兰,5397,179.4,2886,100,0,100,362,14,166,349,18.79,86,72,2,44,0,0,0,28.00%,近战
赵云,6732,247.5,3267,1760,95,430,380,14.79,173,394,22.14,84,89,2.786,50,37,1.571,15,28.00%,近战
橘右京,7000,275,3150,0,0,0,347,13,165,392,21.14,96,92,3.143,48,0,0,0,14.00%,近战
李白,5483,179.6,2968,1808,97,450,330,11.5,169,358,18.57,98,80,2.214,49,38,1.571,16,42.00%,近战
杨戬,7420,291.5,3339,1694,91,420,325,11.36,166,428,23.57,98,98,3.357,51,36,1.5,15,28.00%,近战
达摩,7140,280.5,3213,1694,91,420,355,13.14,171,415,22.86,95,98,3.357,51,36,1.5,15,42.00%,近战
孙悟空,6585,235.1,3293,1760,95,430,349,13,167,385,20.79,94,87,2.643,50,37,1.571,15,14.00%,近战
刘备,6900,262.5,3225,1742,93,440,363,14.29,163,381,19.14,113,79,2.786,40,36,1.5,15,28.00%,远程
曹操,7473,286.1,3467,0,0,0,361,13.36,174,371,19.07,104,101,3.357,54,0,0,0,14.00%,近战
典韦,7516,291.6,3434,1774,96,430,345,12.64,168,402,22.36,89,99,3.357,52,39,1.643,16,42.00%,近战
宫本武藏,6210,236.3,2902,0,0,0,330,12.36,157,391,20.36,106,85,2.714,47,0,0,0,14.00%,近战
老夫子,7155,270.4,3370,5,0,5,329,11.5,168,409,22.07,100,94,3.071,51,0,0,0,56.00%,近战
哪吒,7268,270.4,3483,1808,97,450,320,11.5,159,408,22.07,99,98,3.214,53,38,1.571,16,28.00%,近战
阿轲,5968,192.8,3269,0,0,0,427,17.86,177,349,18.57,89,81,2.214,50,0,0,0,28.00%,近战
娜可露露,6205,211.9,3239,1808,97,450,385,15.14,173,359,19.5,86,79,2.286,47,38,1.571,16,14.00%,近战
兰陵王,6232,210,3292,1822,98,450,388,15.5,171,342,18.36,85,99,3.357,52,46,1.929,19,14.00%,近战
铠,6700,237.5,3375,1784,96,440,328,10.86,176,388,20.07,107,81,2.643,44,38,1.571,16,28.00%,近战
百里守约,5611,185.1,3019,1784,96,440,410,15.86,188,329,16.79,94,68,2.071,39,38,1.571,16,28.00%,远程
